0 5.000000e-02 1.544917e+01
1 1.000000e-01 1.965960e+01
2 2.000000e-01 1.265414e+01
3 4.000000e-01 6.293221e+00
4 8.000000e-01 3.451818e+00
5 1.600000e+00 2.704416e+00
6 3.200000e+00 1.961396e+00
7 6.400000e+00 1.090519e+00
8 1.280000e+01 7.257235e-01
9 2.560000e+01 5.254375e-01
10 5.120000e+01 2.973743e-01
11 1.024000e+02 2.120693e-01
12 2.048000e+02 1.730322e-01
13 4.096000e+02 9.043019e-02
14 8.192000e+02 6.783827e-02
15 1.638400e+03 9.168702e-02
16 3.276800e+03 2.367014e-01
17 6.553600e+03 1.585735e+00
18 1.310720e+04 4.761850e+01
19 2.621440e+04 1.526307e+04
